Reporting Date,Deal Name,Deal ID,Rate,% SCYLLA Impressions,Impressions,Gross Revenue,eCPM,Bid Requests,Valid Bid Responses,Bid Responses,Response Rate,Win Rate (Client),Avg Bid CPM,AVG% above Floor price needed to win Bid (CPM)
3/12/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Enhanced CTV,KRG-0gx7-44475,$26.50 ,$0.00 ,0,$0.00 ,$0.00 ,"6,369,097,600",0,0,0.00%,0.00%,$0.00 ,0.00%
3/13/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"381,943","$2,407.09 ",$6.30 ,"958,000,700","1,661,004","1,794,877",0.17%,22.99%,$5.95 ,94.59%
3/13/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"572,395","$10,732.37 ",$18.75 ,"603,402,200","1,983,301","2,063,069",0.33%,28.86%,$18.14 ,106.71%
3/13/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Enhanced CTV,KRG-0gx7-44475,$26.50 ,$0.00 ,0,$0.00 ,$0.00 ,"6,306,344,800",0,0,0.00%,0.00%,$0.00 ,0.00%
3/13/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"121,198",$850.13 ,$7.01 ,"328,908,700","477,825","485,776",0.15%,25.36%,$7.01 ,100.14%
3/13/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"254,869","$1,860.21 ",$7.30 ,"958,000,700","948,114","960,572",0.10%,26.88%,$7.30 ,100.14%
3/14/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"592,741","$10,543.24 ",$17.79 ,"549,118,700","2,497,433","2,659,840",0.45%,23.73%,$16.94 ,99.65%
3/14/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"457,899","$2,885.74 ",$6.30 ,"931,609,000","2,061,430","2,321,888",0.22%,22.21%,$5.78 ,91.89%
3/14/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"202,536","$1,478.28 ",$7.30 ,"931,609,000","760,217","776,190",0.08%,26.64%,$7.30 ,100.14%
3/14/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform STANDARD Pre-Roll,KRG-nyw4-44580,$15.00 ,$1.00 ,"114,448","$3,466.56 ",$30.29 ,"446,615,000","373,646","373,829",0.08%,30.63%,$27.24 ,181.60%
3/14/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"90,468",$634.74 ,$7.02 ,"310,083,400","318,692","321,100",0.10%,28.39%,$7.01 ,100.14%
